Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
1259605884067631106,Jajaja total,<[2020-05-10T22:07:04.996Z]>,Tweet,,,,,,,Sun May 10 17:06:59 COT 2020,es,FALSE,https://twitter.com/camilooob/status/1259572579934896129,,,,,,,,,,
@eres_efimer0,@eres_efimer0,<[2020-05-10T22:07:04.996Z]>,User,,,,,,,Fri Nov 27 23:43:17 COT 2009,,,,With pain live the force,,http://pbs.twimg.com/profile_images/1178538539463663616/QX52-5z4_bigger.jpg,246,478,Storm,COLOMBIA,,,
1259572579934896129,#Rappi en este momento https://t.co/1kuYMiueQS,"<[2020-05-10T22:07:05.018Z, 2020-05-10T22:07:56.402Z, 2020-05-10T22:09:10.364Z, 2020-05-10T22:11:35.190Z, 2020-05-10T22:12:34.789Z, 2020-05-10T22:13:56.401Z, 2020-05-10T22:15:21.289Z, 2020-05-10T22:17:23.419Z, 2020-05-10T22:17:39.011Z, 2020-05-10T22:21:56.896Z, 2020-05-10T22:22:16.119Z, 2020-05-10T22:23:26.555Z, 2020-05-10T22:25:26.374Z, 2020-05-10T22:25:28.112Z, 2020-05-10T22:25:52.185Z, 2020-05-10T22:27:15.790Z, 2020-05-10T22:28:36.847Z, 2020-05-10T22:29:33.576Z, 2020-05-10T22:31:17.315Z, 2020-05-10T22:32:46.693Z, 2020-05-10T22:35:18.255Z, 2020-05-10T22:35:34.124Z, 2020-05-10T22:40:09.777Z, 2020-05-10T22:42:59.145Z, 2020-05-10T22:45:59.458Z, 2020-05-10T22:47:37.154Z, 2020-05-10T22:55:29.551Z, 2020-05-10T22:58:27.311Z, 2020-05-10T22:59:16.262Z, 2020-05-10T22:59:22.203Z, 2020-05-10T22:59:33.654Z, 2020-05-10T23:07:38.318Z, 2020-05-10T23:11:55.795Z, 2020-05-10T23:12:30.864Z, 2020-05-10T23:16:29.051Z, 2020-05-10T23:17:26.643Z, 2020-05-10T23:23:20.325Z, 2020-05-10T23:38:17.117Z, 2020-05-10T23:39:11.237Z]>",Tweet,,,,,,,Sun May 10 14:54:39 COT 2020,es,FALSE,,,,,,,,,,,
@camilooob,@camilooob,"<[2020-05-10T22:07:05.018Z, 2020-05-10T22:07:56.402Z, 2020-05-10T22:09:10.364Z, 2020-05-10T22:11:35.190Z, 2020-05-10T22:12:34.789Z, 2020-05-10T22:13:56.401Z, 2020-05-10T22:15:21.289Z, 2020-05-10T22:17:23.419Z, 2020-05-10T22:17:39.011Z, 2020-05-10T22:21:56.896Z, 2020-05-10T22:22:16.119Z, 2020-05-10T22:23:26.555Z, 2020-05-10T22:25:26.374Z, 2020-05-10T22:25:28.112Z, 2020-05-10T22:25:52.185Z, 2020-05-10T22:26:07.236Z, 2020-05-10T22:26:54.255Z, 2020-05-10T22:27:15.790Z, 2020-05-10T22:28:36.847Z, 2020-05-10T22:29:33.576Z, 2020-05-10T22:31:17.315Z, 2020-05-10T22:32:46.693Z, 2020-05-10T22:35:18.255Z, 2020-05-10T22:35:34.124Z, 2020-05-10T22:36:26.423Z, 2020-05-10T22:40:09.777Z, 2020-05-10T22:42:18.092Z, 2020-05-10T22:42:59.145Z, 2020-05-10T22:45:59.458Z, 2020-05-10T22:47:37.154Z, 2020-05-10T22:51:56.866Z, 2020-05-10T22:55:29.551Z, 2020-05-10T22:58:27.311Z, 2020-05-10T22:59:16.262Z, 2020-05-10T22:59:22.203Z, 2020-05-10T22:59:33.654Z, 2020-05-10T23:05:39.221Z, 2020-05-10T23:07:38.318Z, 2020-05-10T23:11:55.795Z, 2020-05-10T23:12:30.864Z, 2020-05-10T23:16:29.051Z, 2020-05-10T23:17:26.643Z, 2020-05-10T23:23:20.325Z, 2020-05-10T23:38:17.117Z, 2020-05-10T23:39:11.237Z]>",User,,,,,,,Sat Nov 29 21:12:16 COT 2008,,,,Software Engineer | Financial Engineer | Holberton School | UNAL | UPiloto | Simetrik | Age: 26.,,http://pbs.twimg.com/profile_images/1158418461682544640/SJ4bBA1u_bigger.jpg,2164,2940,Camilo Baquero | Software Engineer,"Colombia, Bogotá",,,
http://pbs.twimg.com/media/EXrmlVdXYAImXn1.jpg,http://pbs.twimg.com/media/EXrmlVdXYAImXn1.jpg,"<[2020-05-10T22:07:05.018Z, 2020-05-10T22:07:56.400Z, 2020-05-10T22:07:56.402Z, 2020-05-10T22:09:10.363Z, 2020-05-10T22:09:10.364Z, 2020-05-10T22:11:35.189Z, 2020-05-10T22:11:35.190Z, 2020-05-10T22:12:34.788Z, 2020-05-10T22:12:34.789Z, 2020-05-10T22:13:56.400Z, 2020-05-10T22:13:56.401Z, 2020-05-10T22:15:21.289Z, 2020-05-10T22:17:23.418Z, 2020-05-10T22:17:23.419Z, 2020-05-10T22:17:39.011Z, 2020-05-10T22:21:56.895Z, 2020-05-10T22:21:56.896Z, 2020-05-10T22:22:16.119Z, 2020-05-10T22:23:26.555Z, 2020-05-10T22:25:26.374Z, 2020-05-10T22:25:28.112Z, 2020-05-10T22:25:52.184Z, 2020-05-10T22:25:52.185Z, 2020-05-10T22:27:15.788Z, 2020-05-10T22:27:15.790Z, 2020-05-10T22:28:36.846Z, 2020-05-10T22:28:36.847Z, 2020-05-10T22:29:33.576Z, 2020-05-10T22:31:17.315Z, 2020-05-10T22:32:46.693Z, 2020-05-10T22:35:18.255Z, 2020-05-10T22:35:34.124Z, 2020-05-10T22:40:09.776Z, 2020-05-10T22:40:09.777Z, 2020-05-10T22:42:59.145Z, 2020-05-10T22:45:59.457Z, 2020-05-10T22:45:59.458Z, 2020-05-10T22:47:37.154Z, 2020-05-10T22:55:29.551Z, 2020-05-10T22:58:27.311Z, 2020-05-10T22:59:16.261Z, 2020-05-10T22:59:16.262Z, 2020-05-10T22:59:22.203Z, 2020-05-10T22:59:33.654Z, 2020-05-10T23:07:38.318Z, 2020-05-10T23:11:55.795Z, 2020-05-10T23:12:30.864Z, 2020-05-10T23:16:29.051Z, 2020-05-10T23:17:26.643Z, 2020-05-10T23:23:20.325Z, 2020-05-10T23:38:17.117Z, 2020-05-10T23:39:11.237Z]>",Media,,,,,,,,,,,,,,,,,,,,
1259605916674068480,RT @forbescolombia: #ATENCIÓN @RappiColombia colapsó este domingo y suprimió el botón de restaurantes ante la alta demanda por el Día de la…,<[2020-05-10T22:07:13.057Z]>,Tweet,,,,,,,Sun May 10 17:07:07 COT 2020,es,FALSE,,,,,,,,,,,
@johnjcali19,@johnjcali19,<[2020-05-10T22:07:13.057Z]>,User,,,,,,,Thu Jun 24 16:37:50 COT 2010,,,,"Contador Público. Amo mi flia, mi hija lo máximo! @SuContadorAmigo",,http://pbs.twimg.com/profile_images/1254222479591124992/Xi-UQd7b_bigger.jpg,3507,920,John J Salgado / Mapau hija,"Cali, City",,,
#atención,#atención,"<[2020-05-10T22:07:13.057Z, 2020-05-10T22:07:13.075Z, 2020-05-10T22:19:01.458Z, 2020-05-10T22:19:01.460Z, 2020-05-10T23:11:29.973Z, 2020-05-10T23:20:10.982Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,
1259604992962572292,#ATENCIÓN @RappiColombia colapsó este domingo y suprimió el botón de restaurantes ante la alta demanda por el Día de la Madre https://t.co/0WGeEKZ3oK,"<[2020-05-10T22:07:13.075Z, 2020-05-10T22:19:01.460Z, 2020-05-10T23:11:29.973Z, 2020-05-10T23:20:10.982Z]>",Tweet,,,,,,,Sun May 10 17:03:27 COT 2020,es,FALSE,,,,,,,,,,,
@forbescolombia,@forbescolombia,"<[2020-05-10T22:07:13.075Z, 2020-05-10T22:19:01.460Z, 2020-05-10T23:11:29.973Z, 2020-05-10T23:20:10.982Z]>",User,,,,,,,Tue Oct 22 13:04:43 COT 2019,,,,Cuenta oficial de Twitter de la revista Forbes Colombia.,,http://pbs.twimg.com/profile_images/1258776165281660928/6M7Okuz5_bigger.jpg,61,8597,Forbes Colombia,"Bogotá, Colombia",,,
